filename,n_sources_true,true_x,true_y,true_z,pred_x,pred_y,pred_z,err_x,err_y,err_z,err_xy,err_xyz,matched
SIM_events_source_0006.csv,3,4.919,-64.808,9.452,37.991,-59.093,4.33,33.0717,5.7147,5.1223,33.5618,33.9504,True
SIM_events_source_0007.csv,3,31.735,56.802,-1.178,-8.339,59.747,9.941,40.0738,2.9446,11.1191,40.1819,41.6919,True
SIM_events_source_0007.csv,3,-63.138,-59.275,-8.42,-37.884,-52.217,-10.62,25.2542,7.0582,2.1995,26.222,26.3141,True
SIM_events_source_0007.csv,3,-64.665,64.044,-6.691,-13.606,58.241,-9.546,51.059,5.8035,2.8549,51.3878,51.4671,True
SIM_events_source_0008.csv,3,35.995,-22.626,-14.577,16.304,-56.085,-14.422,19.6908,33.4591,0.1554,38.8232,38.8235,True
SIM_events_source_0008.csv,3,-79.119,-42.219,-15.954,-61.973,-39.447,-10.925,17.146,2.772,5.0289,17.3687,18.082,True
SIM_events_source_0008.csv,3,-70.792,-11.75,-5.347,-60.182,-40.071,12.942,10.6103,28.3206,18.2889,30.243,35.3429,True
SIM_events_source_0009.csv,4,-20.472,-44.157,7.004,-29.675,-52.486,-12.46,9.2034,8.329,19.4641,12.4126,23.0852,True
SIM_events_source_0009.csv,4,-11.373,-77.337,-1.645,12.463,-61.497,8.637,23.8358,15.8398,10.2819,28.619,30.4099,True
SIM_events_source_0009.csv,4,75.275,25.197,19.815,8.387,50.922,10.347,66.888,25.725,9.4679,71.6644,72.2871,True
SIM_events_source_0009.csv,4,-13.413,58.405,-7.598,1.404,47.767,-9.995,14.8174,10.6376,2.3974,18.2405,18.3974,True
SIM_events_source_0010.csv,3,60.982,40.258,-2.637,61.55,44.663,-11.631,0.5678,4.4051,8.9939,4.4415,10.0309,True
SIM_events_source_0010.csv,3,65.658,66.863,-14.96,66.663,49.204,11.268,1.0055,17.6592,26.2276,17.6878,31.6346,True
SIM_events_source_0010.csv,3,62.744,-28.134,6.056,56.576,-9.615,0.49,6.1676,18.5186,5.5665,19.5187,20.2969,True
SIM_events_source_0011.csv,3,-28.666,-69.757,-12.723,-49.931,-59.429,-14.025,21.265,10.3284,1.3021,23.6406,23.6764,True
SIM_events_source_0011.csv,3,-51.772,73.442,1.582,-64.239,41.25,-8.681,12.4672,32.1924,10.2634,34.5222,36.0156,True
SIM_events_source_0011.csv,3,68.649,35.387,-17.078,47.854,56.61,9.788,20.7949,21.2227,26.8658,29.7125,40.0575,True
SIM_events_source_0012.csv,5,-41.298,78.054,8.147,-60.789,54.552,-9.619,19.4911,23.5024,17.7656,30.533,35.3254,True
SIM_events_source_0012.csv,5,-11.535,48.059,15.27,-9.244,42.928,9.622,2.2908,5.131,5.6476,5.6191,7.9668,True
SIM_events_source_0012.csv,5,-6.983,-37.854,17.346,-47.773,-37.405,-14.424,40.7896,0.4486,31.7703,40.7921,51.7044,True
SIM_events_source_0012.csv,5,-59.479,-19.291,14.187,7.62,30.987,-11.786,67.0992,50.278,25.9731,83.8462,87.7769,True
SIM_events_source_0012.csv,5,71.713,-77.586,-8.951,47.087,-65.937,1.972,24.6259,11.6486,10.9232,27.242,29.3503,True
SIM_events_source_0013.csv,3,8.839,-78.146,-4.551,25.291,-60.876,6.035,16.4515,17.2701,10.5863,23.8518,26.0956,True
SIM_events_source_0013.csv,3,-6.447,-70.715,2.78,-13.774,-53.096,-12.526,7.3267,17.6187,15.306,19.0814,24.4617,True
SIM_events_source_0013.csv,3,48.832,24.38,16.371,34.383,-6.955,10.884,14.449,31.3355,5.4871,34.5063,34.9399,True
SIM_events_source_0014.csv,3,-34.709,26.709,13.678,-37.459,40.468,2.497,2.75,13.7592,11.181,14.0313,17.9414,True
SIM_events_source_0014.csv,3,9.534,-20.327,19.249,-17.205,-22.111,13.877,26.739,1.7843,5.3716,26.7985,27.3315,True
SIM_events_source_0014.csv,3,-30.967,64.724,-5.455,-25.52,42.217,9.759,5.4468,22.5072,15.214,23.1569,27.7076,True
SIM_events_source_0015.csv,3,10.118,-44.49,-3.692,-24.596,-51.019,13.837,34.714,6.5286,17.5294,35.3226,39.433,True
SIM_events_source_0015.csv,3,75.602,-57.352,10.061,61.687,-45.09,10.887,13.9154,12.2624,0.8258,18.5474,18.5658,True
SIM_events_source_0015.csv,3,78.183,-76.528,-4.532,58.806,-67.791,-4.086,19.3768,8.7365,0.4464,21.2553,21.26,True
SIM_events_source_0016.csv,5,-5.478,-48.026,-19.221,-8.92,-64.35,11.551,3.4422,16.3241,30.7716,16.683,35.0031,True
SIM_events_source_0016.csv,5,-64.949,70.234,14.242,-35.439,56.311,9.454,29.5095,13.9228,4.7883,32.6291,32.9785,True
SIM_events_source_0016.csv,5,-7.108,53.924,3.776,-42.207,51.89,-12.159,35.0994,2.0345,15.9349,35.1583,38.6008,True
SIM_events_source_0016.csv,5,-5.359,-57.76,-19.36,-44.723,-66.878,-10.511,39.3641,9.1181,8.8486,40.4063,41.3638,True
SIM_events_source_0016.csv,5,-45.757,-41.078,-14.397,-53.898,24.443,-7.911,8.141,65.5213,6.4858,66.0251,66.3429,True
SIM_events_source_0017.csv,2,-72.337,-48.856,17.76,-51.456,-16.667,1.305,20.8812,32.1895,16.4551,38.3691,41.7488,True
SIM_events_source_0017.csv,2,16.534,79.131,2.138,1.496,62.162,11.531,15.0385,16.9691,9.3934,22.6739,24.5427,True
SIM_events_source_0018.csv,5,-74.103,-48.249,-18.545,-58.594,-55.848,-14.995,15.5085,7.5994,3.5497,17.2703,17.6314,True
SIM_events_source_0018.csv,5,78.592,-67.9,-8.585,69.062,-73.26,-2.746,9.5302,5.3599,5.8394,10.934,12.3957,True
SIM_events_source_0018.csv,5,-28.917,-31.098,-16.335,13.127,46.266,-8.262,42.0437,77.3639,8.0734,88.0502,88.4196,True
SIM_events_source_0018.csv,5,-43.788,66.859,6.011,-66.311,56.076,-16.321,22.5232,10.7831,22.3321,24.9714,33.5006,True
SIM_events_source_0018.csv,5,-22.066,69.837,-8.477,30.497,53.661,11.153,52.5632,16.1756,19.6304,54.9959,58.3943,True
SIM_events_source_0019.csv,5,-72.063,-43.824,-3.055,-53.414,-29.925,9.009,18.6487,13.8987,12.0643,23.2582,26.201,True
SIM_events_source_0019.csv,5,-52.133,-37.999,-4.915,-34.311,-33.753,-12.642,17.8216,4.2462,7.7266,18.3204,19.8831,True
SIM_events_source_0019.csv,5,-43.962,27.81,1.16,38.302,40.514,-7.062,82.2642,12.7036,8.2221,83.2393,83.6444,True
SIM_events_source_0019.csv,5,75.886,50.562,1.047,42.807,44.472,13.759,33.0787,6.0898,12.7117,33.6346,35.9565,True
SIM_events_source_0019.csv,5,69.62,10.308,-5.169,39.975,-55.224,7.811,29.6453,65.5318,12.9798,71.9254,73.0872,True
SIM_events_source_0020.csv,4,49.783,-33.786,-15.616,33.951,-47.566,10.217,15.8322,13.7804,25.8325,20.9895,33.2848,True
SIM_events_source_0020.csv,4,-12.995,-43.135,1.735,-31.535,-14.725,-11.372,18.54,28.4102,13.107,33.9245,36.3684,True
SIM_events_source_0020.csv,4,15.573,9.496,7.121,14.169,18.304,12.106,1.4036,8.808,4.9851,8.9191,10.2177,True
SIM_events_source_0020.csv,4,-45.045,42.279,6.723,-47.751,-9.641,9.55,2.7058,51.9202,2.8271,51.9907,52.0675,True
SIM_events_source_0021.csv,1,-58.968,-46.078,-19.183,-53.67,-58.869,-5.495,5.2977,12.7909,13.6878,13.8446,19.4687,True
SIM_events_source_0022.csv,1,30.357,4.787,8.564,23.093,5.525,10.223,7.2645,0.7375,1.659,7.3018,7.4879,True
SIM_events_source_0023.csv,3,-19.742,62.297,18.538,-24.453,52.416,8.138,4.711,9.8808,10.3999,10.9464,15.0991,True
SIM_events_source_0023.csv,3,61.384,2.365,-11.266,55.458,30.872,1.329,5.9255,28.5073,12.5955,29.1166,31.7242,True
SIM_events_source_0023.csv,3,60.589,79.947,14.208,60.567,58.632,14.094,0.022,21.3147,0.1137,21.3147,21.315,True
SIM_events_source_0024.csv,4,-4.11,-30.19,-14.505,38.683,-14.727,8.91,42.7933,15.4632,23.4151,45.5014,51.1727,True
SIM_events_source_0024.csv,4,29.821,-7.773,16.185,34.133,23.647,-12.542,4.3121,31.4201,28.727,31.7146,42.7908,True
SIM_events_source_0024.csv,4,75.698,-6.959,11.035,10.52,42.676,11.15,65.1777,49.6347,0.1154,81.9252,81.9253,True
SIM_events_source_0024.csv,4,-17.915,79.875,-1.342,-42.855,57.524,5.165,24.9401,22.3507,6.5075,33.4897,34.1161,True
SIM_events_source_0025.csv,4,-1.644,-25.172,3.071,-12.298,-45.177,-12.881,10.6542,20.0054,15.9518,22.6655,27.7162,True
SIM_events_source_0025.csv,4,45.683,52.685,-1.474,37.097,38.866,12.032,8.586,13.8189,13.5065,16.269,21.1448,True
SIM_events_source_0025.csv,4,2.158,-2.01,5.267,30.573,34.714,-9.864,28.4153,36.7238,15.1315,46.4334,48.8367,True
SIM_events_source_0025.csv,4,13.268,-65.063,-14.189,24.195,-56.98,8.302,10.9274,8.0828,22.4907,13.5919,26.2788,True
SIM_events_source_0026.csv,5,-35.685,-58.762,0.069,-61.896,-46.313,-12.321,26.2113,12.4487,12.3902,29.0173,31.5519,True
SIM_events_source_0026.csv,5,-71.448,26.901,18.997,-59.923,-22.8,10.158,11.525,49.701,8.8393,51.0198,51.7798,True
SIM_events_source_0026.csv,5,-69.921,-62.725,11.117,5.28,-9.508,15.143,75.2009,53.2174,4.0262,92.1263,92.2143,True
SIM_events_source_0026.csv,5,51.015,-18.479,1.558,14.196,-23.313,-11.107,36.8194,4.8337,12.6647,37.1354,39.2356,True
SIM_events_source_0026.csv,5,-39.375,-8.623,-1.605,47.3,-62.821,7.043,86.6755,54.1981,8.6481,102.2256,102.5907,True
SIM_events_source_0027.csv,4,61.959,23.121,-2.293,43.474,15.041,12.786,18.4846,8.0803,15.0787,20.1736,25.1861,True
SIM_events_source_0027.csv,4,-40.681,-14.705,9.5,-45.929,-23.284,13.493,5.2476,8.5793,3.9928,10.057,10.8206,True
SIM_events_source_0027.csv,4,-14.806,-41.168,-11.384,-40.806,-18.894,-12.614,25.9995,22.2736,1.2303,34.2358,34.2579,True
SIM_events_source_0027.csv,4,-17.064,-60.548,-7.094,51.758,-50.974,6.057,68.8215,9.5744,13.1514,69.4843,70.718,True
SIM_events_source_0028.csv,1,21.409,40.019,-12.362,16.086,24.007,-12.915,5.3231,16.0116,0.553,16.8732,16.8823,True
SIM_events_source_0029.csv,2,52.309,-26.358,-15.262,55.895,-39.112,-2.843,3.5856,12.754,12.4193,13.2485,18.1593,True
SIM_events_source_0029.csv,2,74.904,18.811,9.991,64.322,14.73,11.319,10.5817,4.0809,1.3279,11.3414,11.4188,True
SIM_events_source_0030.csv,2,-60.313,-64.139,-4.674,-62.379,-55.36,6.35,2.066,8.7787,11.0237,9.0185,14.2427,True
SIM_events_source_0030.csv,2,-8.658,-21.191,1.211,-29.195,-44.573,-14.623,20.5366,23.3818,15.834,31.1201,34.9167,True
SIM_events_source_0031.csv,5,-27.107,-17.087,11.78,-45.221,-29.201,15.778,18.1138,12.1135,3.9978,21.791,22.1547,True
SIM_events_source_0031.csv,5,-52.093,-43.323,-10.365,-40.743,-42.556,-9.134,11.35,0.7675,1.2312,11.376,11.4424,True
SIM_events_source_0031.csv,5,-26.764,19.768,-0.549,-36.237,-28.73,-14.024,9.4733,48.4983,13.4755,49.4149,51.2194,True
SIM_events_source_0031.csv,5,-15.508,-69.014,-18.081,-12.899,-55.44,13.124,2.6092,13.5737,31.2054,13.8222,34.1296,True
SIM_events_source_0031.csv,5,-77.442,-50.41,13.169,-60.297,-41.515,4.119,17.1451,8.8949,9.0498,19.3151,21.3301,True
SIM_events_source_0032.csv,5,13.353,-70.914,-4.51,36.378,-58.193,8.568,23.0247,12.7205,13.0782,26.3049,29.3766,True
SIM_events_source_0032.csv,5,-31.041,-44.821,-12.018,-44.978,-42.078,-12.704,13.9368,2.7426,0.6856,14.2041,14.2207,True
SIM_events_source_0032.csv,5,-62.596,26.539,3.969,-56.779,-11.102,6.13,5.8175,37.641,2.1612,38.0879,38.1492,True
SIM_events_source_0032.csv,5,-32.299,-55.653,9.596,22.989,38.788,-8.088,55.2876,94.441,17.6843,109.4341,110.8537,True
SIM_events_source_0032.csv,5,23.573,72.737,-17.737,26.495,44.477,13.579,2.922,28.2598,31.3159,28.4105,42.2829,True
SIM_events_source_0033.csv,5,-45.926,6.39,-6.896,-39.706,-25.787,-11.499,6.2199,32.1767,4.6028,32.7724,33.094,True
SIM_events_source_0033.csv,5,42.536,-43.539,0.729,42.854,-55.26,7.339,0.3175,11.721,6.6104,11.7253,13.4603,True
SIM_events_source_0033.csv,5,16.984,3.884,-9.735,22.657,-20.624,-12.535,5.6727,24.5083,2.8004,25.1562,25.3116,True
SIM_events_source_0033.csv,5,6.351,-75.623,-8.155,16.915,-11.319,12.481,10.5641,64.3038,20.6357,65.1658,68.355,True
SIM_events_source_0033.csv,5,39.385,-19.039,16.025,-49.863,-28.917,11.756,89.2482,9.8782,4.2687,89.7932,89.8946,True
SIM_events_source_0034.csv,2,-57.736,-77.601,17.574,-52.99,-38.351,4.173,4.7457,39.2496,13.4014,39.5354,41.7451,True
SIM_events_source_0034.csv,2,27.328,59.132,8.967,11.315,46.535,12.442,16.0134,12.5972,3.4752,20.3745,20.6687,True
SIM_events_source_0035.csv,5,-65.866,-79.714,-17.648,-61.407,-63.826,7.493,4.4593,15.8882,25.1413,16.5022,30.0733,True
SIM_events_source_0035.csv,5,-49.681,-54.036,-6.353,-44.051,-53.037,-8.314,5.6303,0.9985,1.9612,5.7182,6.0451,True
SIM_events_source_0035.csv,5,-2.69,-47.521,-7.779,-12.266,-60.521,10.304,9.5765,13.0005,18.0827,16.1469,24.2427,True
SIM_events_source_0035.csv,5,-54.246,-36.902,-1.204,-43.829,-59.294,16.466,10.4174,22.3918,17.6704,24.6965,30.3671,True
SIM_events_source_0035.csv,5,-59.056,-52.034,-7.66,-25.161,-56.453,-15.649,33.8951,4.419,7.9888,34.182,35.1031,True
SIM_events_source_0036.csv,2,-10.461,-6.321,14.571,-5.48,-12.929,11.758,4.9809,6.6078,2.8134,8.2748,8.74,True
SIM_events_source_0036.csv,2,16.419,-48.379,14.064,14.726,-48.629,10.322,1.6928,0.2498,3.7423,1.7112,4.1149,True
SIM_events_source_0037.csv,4,58.159,-75.244,7.166,37.386,-56.779,9.762,20.7733,18.4653,2.5956,27.7938,27.9148,True
SIM_events_source_0037.csv,4,20.542,-17.42,-13.472,-30.741,-35.383,-12.999,51.2831,17.9631,0.4728,54.3381,54.3402,True
SIM_events_source_0037.csv,4,3.117,37.485,-5.351,24.218,41.169,-8.019,21.1007,3.684,2.6685,21.4199,21.5854,True
SIM_events_source_0037.csv,4,13.177,72.921,13.052,26.677,46.778,11.35,13.5004,26.143,1.702,29.4231,29.4722,True
SIM_events_source_0038.csv,1,73.651,21.519,-7.697,63.887,17.848,-14.494,9.7638,3.6709,6.7975,10.4311,12.4504,True
SIM_events_source_0039.csv,2,36.787,10.81,5.26,24.43,13.618,11.243,12.3571,2.8083,5.9834,12.6722,14.0137,True
SIM_events_source_0039.csv,2,-12.775,-27.162,19.756,-40.483,-23.296,10.608,27.7081,3.8665,9.1482,27.9766,29.4343,True
SIM_events_source_0040.csv,4,-23.368,-71.609,7.353,-56.894,-42.095,9.685,33.5261,29.5144,2.3318,44.6665,44.7273,True
SIM_events_source_0040.csv,4,-34.978,-1.619,-8.389,-43.82,-34.227,-10.991,8.8422,32.6082,2.6016,33.7858,33.8858,True
SIM_events_source_0040.csv,4,-16.938,3.931,-19.688,-4.013,-29.069,-13.246,12.9253,32.9996,6.4415,35.4406,36.0212,True
SIM_events_source_0040.csv,4,26.433,-23.696,11.062,19.987,-56.734,9.294,6.4464,33.0381,1.7679,33.6611,33.7075,True
SIM_events_source_0041.csv,3,24.914,-33.23,-16.544,-6.706,-52.231,-13.898,31.6202,19.0013,2.6455,36.8902,36.9849,True
SIM_events_source_0041.csv,3,-55.301,-56.165,-8.864,-45.106,-48.059,9.921,10.1945,8.1065,18.7848,13.0247,22.8586,True
SIM_events_source_0041.csv,3,77.624,34.517,-17.79,56.052,22.628,-12.317,21.572,11.8887,5.4733,24.6312,25.2319,True
SIM_events_source_0042.csv,4,12.527,-61.664,-5.616,32.914,-49.18,9.025,20.3867,12.484,14.6409,23.9054,28.0325,True
SIM_events_source_0042.csv,4,14.136,-3.739,6.155,4.124,-10.676,12.825,10.0116,6.9369,6.6701,12.18,13.8868,True
SIM_events_source_0042.csv,4,49.986,-45.385,0.738,13.621,-22.803,-13.265,36.3654,22.582,14.0032,42.8064,45.0386,True
SIM_events_source_0042.csv,4,-36.66,-13.394,-4.023,-36.255,-10.018,-10.474,0.4045,3.3758,6.4508,3.3999,7.2919,True
SIM_events_source_0043.csv,2,-26.844,44.483,10.55,-45.553,41.573,5.811,18.7088,2.9103,4.7392,18.9339,19.518,True
SIM_events_source_0043.csv,2,42.709,-39.553,-4.17,35.481,-33.627,9.748,7.2284,5.9261,13.9184,9.3471,16.7657,True
SIM_events_source_0044.csv,3,-40.346,34.257,-6.511,-47.855,46.732,2.493,7.5087,12.4755,9.0038,14.5608,17.1198,True
SIM_events_source_0044.csv,3,13.483,-34.742,-6.043,0.588,-30.481,12.208,12.8945,4.2615,18.2511,13.5805,22.7494,True
SIM_events_source_0044.csv,3,-16.925,-6.402,15.084,-37.265,13.257,12.804,20.3398,19.6589,2.2799,28.2874,28.3791,True
SIM_events_source_0045.csv,2,-34.293,-17.344,19.724,-43.031,-33.32,12.77,8.7375,15.9761,6.9539,18.2093,19.492,True
SIM_events_source_0045.csv,2,39.899,-27.084,-1.759,31.636,-27.506,-13.626,8.2628,0.4221,11.8673,8.2735,14.4667,True
SIM_events_source_0046.csv,1,-63.642,-60.186,-13.838,-54.195,-58.242,-5.531,9.4468,1.9436,8.3068,9.6446,12.7288,True
SIM_events_source_0047.csv,3,-8.355,-59.38,-7.737,-31.795,-54.164,-12.011,23.44,5.2159,4.2743,24.0133,24.3908,True
SIM_events_source_0047.csv,3,60.963,-37.562,-17.38,35.285,-36.348,-14.323,25.678,1.2137,3.0568,25.7066,25.8877,True
SIM_events_source_0047.csv,3,-61.38,-50.343,-2.007,-38.754,-56.839,11.975,22.6256,6.4964,13.982,23.5398,27.3791,True
SIM_events_source_0048.csv,2,-40.857,-55.689,1.576,-51.959,-47.613,-6.632,11.1017,8.0757,8.2081,13.7283,15.995,True
SIM_events_source_0048.csv,2,-53.757,-21.158,10.403,-62.072,-41.147,17.771,8.3152,19.989,7.3684,21.6495,22.8691,True
SIM_events_source_0049.csv,2,-23.775,-30.004,-5.484,-45.613,-31.999,-4.52,21.8377,1.9951,0.9644,21.9286,21.9498,True
SIM_events_source_0049.csv,2,-36.113,37.874,-9.703,-47.6,41.968,-12.619,11.4866,4.0942,2.9164,12.1945,12.5384,True
SIM_events_source_0051.csv,5,-78.195,-39.551,-14.864,-57.913,-34.692,2.545,20.2823,4.8591,17.4094,20.8562,27.1674,True
SIM_events_source_0051.csv,5,-15.411,42.215,14.746,-17.961,13.503,13.907,2.5501,28.7122,0.8385,28.8252,28.8374,True
SIM_events_source_0051.csv,5,36.658,-47.826,10.866,9.709,-61.65,10.842,26.9487,13.8236,0.0244,30.2874,30.2874,True
SIM_events_source_0051.csv,5,-65.985,-59.83,9.001,-43.243,-53.895,-11.769,22.7423,5.9347,20.7699,23.5039,31.3659,True
SIM_events_source_0051.csv,5,-21.834,-63.1,4.322,-19.475,11.458,-11.918,2.3591,74.5575,16.2403,74.5948,76.3422,True
SIM_events_source_0052.csv,2,79.763,-60.368,7.347,63.913,-72.192,-3.796,15.8502,11.8239,11.1427,19.7746,22.6979,True
SIM_events_source_0052.csv,2,-53.227,-71.517,9.137,-34.122,-58.708,13.813,19.1045,12.8092,4.6764,23.0013,23.4718,True
SIM_events_source_0053.csv,2,61.881,13.062,5.224,60.294,5.005,10.518,1.587,8.0571,5.2941,8.2119,9.7705,True
SIM_events_source_0053.csv,2,23.677,-40.829,-9.289,44.292,-60.338,-0.871,20.6146,19.5089,8.4184,28.3824,29.6046,True
SIM_events_source_0054.csv,2,65.972,4.233,15.519,48.927,24.134,8.212,17.045,19.9006,7.3071,26.2024,27.2022,True
SIM_events_source_0054.csv,2,12.893,76.719,9.808,43.362,53.528,12.598,30.4694,23.1912,2.7901,38.2912,38.3927,True
SIM_events_source_0055.csv,1,-42.218,6.825,-18.998,-46.878,17.961,-2.966,4.6597,11.136,16.0316,12.0716,20.0682,True
SIM_events_source_0056.csv,2,-75.22,78.025,-14.536,-59.942,63.932,-15.952,15.2785,14.0929,1.4159,20.7856,20.8338,True
SIM_events_source_0056.csv,2,25.493,-59.788,-6.673,49.431,-69.907,0.509,23.9382,10.1187,7.182,25.989,26.9631,True
SIM_events_source_0057.csv,3,73.053,61.724,-19.128,43.071,24.237,-9.874,29.9823,37.4873,9.2542,48.0024,48.8864,True
SIM_events_source_0057.csv,3,-52.868,-50.812,-2.804,-48.882,-46.777,10.706,3.9856,4.0348,13.5097,5.6714,14.6518,True
SIM_events_source_0057.csv,3,4.919,-64.808,9.452,37.991,-59.093,4.33,33.0717,5.7147,5.1223,33.5618,33.9504,True
SIM_events_source_0058.csv,3,31.735,56.802,-1.178,-8.339,59.747,9.941,40.0738,2.9446,11.1191,40.1819,41.6919,True
SIM_events_source_0058.csv,3,-63.138,-59.275,-8.42,-37.884,-52.217,-10.62,25.2542,7.0582,2.1995,26.222,26.3141,True
SIM_events_source_0058.csv,3,-64.665,64.044,-6.691,-13.606,58.241,-9.546,51.059,5.8035,2.8549,51.3878,51.4671,True
SIM_events_source_0059.csv,3,35.995,-22.626,-14.577,16.304,-56.085,-14.422,19.6908,33.4591,0.1554,38.8232,38.8235,True
SIM_events_source_0059.csv,3,-79.119,-42.219,-15.954,-61.973,-39.447,-10.925,17.146,2.772,5.0289,17.3687,18.082,True
SIM_events_source_0059.csv,3,-70.792,-11.75,-5.347,-60.182,-40.071,12.942,10.6103,28.3206,18.2889,30.243,35.3429,True
SIM_events_source_0060.csv,4,-20.472,-44.157,7.004,-29.675,-52.486,-12.46,9.2034,8.329,19.4641,12.4126,23.0852,True
SIM_events_source_0060.csv,4,-11.373,-77.337,-1.645,12.463,-61.497,8.637,23.8358,15.8398,10.2819,28.619,30.4099,True
SIM_events_source_0060.csv,4,75.275,25.197,19.815,8.387,50.922,10.347,66.888,25.725,9.4679,71.6644,72.2871,True
SIM_events_source_0060.csv,4,-13.413,58.405,-7.598,1.404,47.767,-9.995,14.8174,10.6376,2.3974,18.2405,18.3974,True
SIM_events_source_0061.csv,3,60.982,40.258,-2.637,61.55,44.663,-11.631,0.5678,4.4051,8.9939,4.4415,10.0309,True
SIM_events_source_0061.csv,3,65.658,66.863,-14.96,66.663,49.204,11.268,1.0055,17.6592,26.2276,17.6878,31.6346,True
SIM_events_source_0061.csv,3,62.744,-28.134,6.056,56.576,-9.615,0.49,6.1676,18.5186,5.5665,19.5187,20.2969,True
SIM_events_source_0062.csv,3,-28.666,-69.757,-12.723,-49.931,-59.429,-14.025,21.265,10.3284,1.3021,23.6406,23.6764,True
SIM_events_source_0062.csv,3,-51.772,73.442,1.582,-64.239,41.25,-8.681,12.4672,32.1924,10.2634,34.5222,36.0156,True
SIM_events_source_0062.csv,3,68.649,35.387,-17.078,47.854,56.61,9.788,20.7949,21.2227,26.8658,29.7125,40.0575,True
SIM_events_source_0063.csv,5,-41.298,78.054,8.147,-60.789,54.552,-9.619,19.4911,23.5024,17.7656,30.533,35.3254,True
SIM_events_source_0063.csv,5,-11.535,48.059,15.27,-9.244,42.928,9.622,2.2908,5.131,5.6476,5.6191,7.9668,True
SIM_events_source_0063.csv,5,-6.983,-37.854,17.346,-47.773,-37.405,-14.424,40.7896,0.4486,31.7703,40.7921,51.7044,True
SIM_events_source_0063.csv,5,-59.479,-19.291,14.187,7.62,30.987,-11.786,67.0992,50.278,25.9731,83.8462,87.7769,True
SIM_events_source_0063.csv,5,71.713,-77.586,-8.951,47.087,-65.937,1.972,24.6259,11.6486,10.9232,27.242,29.3503,True
SIM_events_source_0064.csv,3,8.839,-78.146,-4.551,25.291,-60.876,6.035,16.4515,17.2701,10.5863,23.8518,26.0956,True
SIM_events_source_0064.csv,3,-6.447,-70.715,2.78,-13.774,-53.096,-12.526,7.3267,17.6187,15.306,19.0814,24.4617,True
SIM_events_source_0064.csv,3,48.832,24.38,16.371,34.383,-6.955,10.884,14.449,31.3355,5.4871,34.5063,34.9399,True
SIM_events_source_0065.csv,3,-34.709,26.709,13.678,-37.459,40.468,2.497,2.75,13.7592,11.181,14.0313,17.9414,True
SIM_events_source_0065.csv,3,9.534,-20.327,19.249,-17.205,-22.111,13.877,26.739,1.7843,5.3716,26.7985,27.3315,True
SIM_events_source_0065.csv,3,-30.967,64.724,-5.455,-25.52,42.217,9.759,5.4468,22.5072,15.214,23.1569,27.7076,True
SIM_events_source_0066.csv,3,10.118,-44.49,-3.692,-24.596,-51.019,13.837,34.714,6.5286,17.5294,35.3226,39.433,True
SIM_events_source_0066.csv,3,75.602,-57.352,10.061,61.687,-45.09,10.887,13.9154,12.2624,0.8258,18.5474,18.5658,True
